Name,Title,Company
Nick VanBuskirk,Enterprise Sales Leader,Plaid
Nitin Gupta,Founder & CEO,Mason
Oliver Jay,Managing Director,OpenAI
Omri Dahan,Fmr CRO,Marqeta
Oscar Torres,Senior Director Partner Development,Dassault Systèmes
Owen Murphy,Managing Director,Arrow Consulting
Pablo Koe-Krompecher,President,Clifton Property Investments
Paige O'Neill,CMO,Culture Amp
Paramita Bhattacharya,,
Parker McCorkle,Strategic Account Executive,SmartSheet
Pat Galvin,"Vice President Employee Experience, Americas",Service Now
Pat McQueen,CTO and Senior Vice President Solution Consulting,Veeva Systems
Patrick Burke,Co-Founder,Keep it Cool
Patrick Cyril,"Global Executive | Sales, Services & Customer Success",Oracle
Patrick Davidson,"Group Vice President, High Tech Industry Solutions",Oracle
Patrick Galvin,"Vice President of Solution Sales, Americas",ServiceNow
Patrick Moran,Vice President Enterprise Sales,Outreach
Patrick O'Keefe,Regional Vice President of Sales,Tealium
Patrick Purvis,Vice President of Sales & Marketing,Replit
Patrick Smith,,
Paul Auffermann,CEO,Business Solution Partners
Paul Fifield,CEO Coach,50to500
Paul Reich,"Senior Vice President, Local Sales",Yelp
Paul Rios,Head of Revenue Experimentation,Telescoped
Paul Roetzer,Founder & CEO,SmarterX
Paul Self,"Regional Vice President, Enterprise",SalesLoft
Paul St. John,CRO,Poolside
Paul Staelin,Fractional Chief Product & Customer Officer,CornerstoneX
Paul Wilson,Founder and President,Massive Growth Partners/Paul M Wilson Consulting
Paulette Harvey,Program Coordinator,Deshpande Foundation
Pawan Deshpande,,
Peter Andrade,Vice President,NetSuite
Peter Davidson,Project Manager,Oracle
Peter Lunk,Managing Director,AppFactor
Peter von Burchard,Vice President of Sales,Proton.ai
Phil McHugh,"Senior Director, Customer Success EMEA",Hubspot
Phil Tonachio,"Vice President of Sales, Strategic Accounts",AcuityMD
Philip McKennan,Vice President of Strategy and Partnerships,Qualtrics
Phillip Andersen,Managing Director & Partner,BCG
Phillip Stutts,Founder/CEO,Win BIG Media
Pilar Schenk,"Vice President, Global Sales Operations | Head of Global Cloud Sales Centers",AWS
Prem Iyer,"Senior Vice President, Strategic Pursuits",Palo Alto Networks
Protik Mukhopadhyay,CEO & Co-Founder,Datacolor Ai
Puja Rios,Frmr President/COO,Kevel
Randy Seidl,CEO,Rainwater Tech
Ray Croghan,Owner,Loess Hills Harley-Davidson
Ray Rike,Founder and CEO,Benchmarkit
Ricardo Duarte,Founder,Beacon Founder Society
Ricardo Garin Ribeiro Simon,Executive Director,Eclipseon
Rich Scott,,
Richard Gatchalian,GTM Strategy and Revenue Leader,Stealth Startup
Richard Scott,fmr Sr. Dir. Strategic Accounts,Proofpoint
Richard Tibbetts,"Engineering Manager, Product Frontiers",Anthropic
Rick Clark,Executive Director- Strategic Student Access,Georgia Institute of Technology
Rick Klein,,
Ricky Pelletier,Owner and Investor,Monument Capital
Rob Brewster,CEO,GoFormz
Rob Cohen,Ambassador,Pavilion
Rob Klapper,"President, School Solutions",FullBloom
Rob Stoker,Principal,RL Stoker
Robbie Shattuck,"CEO, Founder",ATHOS Private Wealth
Robert (Bob) Garzilli,,
Robert A Flint,Vice President Sales and Customer Strategy,ContractPodAi
Robert Lee Huffstedtler,Global Head of Presales Operations,Sitecore
Robert Manne,Director/ Founder,Manne Foundation Homeless Prevention Program
Robert P Lyle,CRO,Medcrypt
Roberto Ayala,Vice President of Sales,Verint
Robin Daniels,Chief Business Officer,Zensai
